"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",99.31636,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",99.35271,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",99.31352,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",99.20168,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",98.96749,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-04",98.83308,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-05",98.82449,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-06",98.73672,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-07",98.49038,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-08",98.19804,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-09",98.08292,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-10",98.10023,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-11",98.23885,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2011-12",98.43069,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.64671,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.80203,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.87569,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.88001,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.84851,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.75189,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.69662,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.69511,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.73891,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.80021,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-11",98.80963,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.76077,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.83145,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.94998,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",99.06195,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.17248,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.32434,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.45882,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.56513,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.57659,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.51884,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.44164,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.4668,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.55239,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.60889,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.6586,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.75095,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.86581,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.92022,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.92969,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.90093,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.88174,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.89412,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",99.95016,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.0617,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.2555,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4665,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.6035,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.6618,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6599,
