,Colour distribution (%),Colour distribution (%),Colour distribution (%),Colour distribution (%),Colour distribution (%),Colour distribution (%),Colour distribution (%),Colour distribution (%),Colour distribution (%)
,Colour,North America,North America,Europe,Europe,Asia-Pacific,Asia-Pacific,World,World
,Colour,PPG,DP,PPG,DP,PPG,DP,PPG,DP
0,White,21,24,23,24,23,22,22,23
1,Silver,16,16,13,14,23,14,20,18
2,Black,19,19,21,23,19,21,19,21
3,Grey,16,15,17,15,8,20,12,14
4,Blue,8,7,7,8,7,5,7,6
5,Red,10,10,7,6,9,7,9,8
6,Brown,7,5,7,6,10,6,7,6
7,Green,3,2,2,1,1,1,2,1
8,Others,,2,3,3,,4,1,3
